typeX,ratio,typeY
Normal,1,Normal
Normal,1,Fire
Normal,1,Water
Normal,1,Electric
Normal,1,Grass
Normal,1,Ice
Normal,1,Fighting
Normal,1,Poison
Normal,1,Ground
Normal,1,Flying
Normal,1,Psychic
Normal,1,Bug
Normal,0.5,Rock
Normal,0,Ghost
Normal,1,Dragon
Normal,1,Dark
Normal,0.5,Steel
Normal,1,Fairy
Fire,1,Normal
Fire,0.5,Fire
Fire,0.5,Water
Fire,1,Electric
Fire,2,Grass
Fire,2,Ice
Fire,1,Fighting
Fire,1,Poison
Fire,1,Ground
Fire,1,Flying
Fire,1,Psychic
Fire,2,Bug
Fire,0.5,Rock
Fire,1,Ghost
Fire,0.5,Dragon
Fire,1,Dark
Fire,2,Steel
Fire,1,Fairy
Water,1,Normal
Water,2,Fire
Water,0.5,Water
Water,1,Electric
Water,0.5,Grass
Water,1,Ice
Water,1,Fighting
Water,1,Poison
Water,2,Ground
Water,1,Flying
Water,1,Psychic
Water,1,Bug
Water,2,Rock
Water,1,Ghost
Water,0.5,Dragon
Water,1,Dark
Water,1,Steel
Water,1,Fairy
Electric,1,Normal
Electric,1,Fire
Electric,2,Water
Electric,0.5,Electric
Electric,0.5,Grass
Electric,1,Ice
Electric,1,Fighting
Electric,1,Poison
Electric,0,Ground
Electric,2,Flying
Electric,1,Psychic
Electric,1,Bug
Electric,1,Rock
Electric,1,Ghost
Electric,0.5,Dragon
Electric,1,Dark
Electric,1,Steel
Electric,1,Fairy
Grass,1,Normal
Grass,0.5,Fire
Grass,2,Water
Grass,1,Electric
Grass,0.5,Grass
Grass,1,Ice
Grass,1,Fighting
Grass,0.5,Poison
Grass,2,Ground
Grass,0.5,Flying
Grass,1,Psychic
Grass,0.5,Bug
Grass,2,Rock
Grass,1,Ghost
Grass,0.5,Dragon
Grass,1,Dark
Grass,0.5,Steel
Grass,1,Fairy
Ice,1,Normal
Ice,0.5,Fire
Ice,0.5,Water
Ice,1,Electric
Ice,2,Grass
Ice,0.5,Ice
Ice,1,Fighting
Ice,1,Poison
Ice,2,Ground
Ice,2,Flying
Ice,1,Psychic
Ice,1,Bug
Ice,1,Rock
Ice,1,Ghost
Ice,2,Dragon
Ice,1,Dark
Ice,0.5,Steel
Ice,1,Fairy
Fighting,2,Normal
Fighting,1,Fire
Fighting,1,Water
Fighting,1,Electric
Fighting,1,Grass
Fighting,2,Ice
Fighting,1,Fighting
Fighting,0.5,Poison
Fighting,1,Ground
Fighting,0.5,Flying
Fighting,0.5,Psychic
Fighting,0.5,Bug
Fighting,2,Rock
Fighting,0,Ghost
Fighting,1,Dragon
Fighting,2,Dark
Fighting,2,Steel
Fighting,0.5,Fairy
Poison,1,Normal
Poison,1,Fire
Poison,1,Water
Poison,1,Electric
Poison,2,Grass
Poison,1,Ice
Poison,1,Fighting
Poison,0.5,Poison
Poison,0.5,Ground
Poison,1,Flying
Poison,1,Psychic
Poison,0.5,Bug
Poison,0.5,Rock
Poison,1,Ghost
Poison,1,Dragon
Poison,0,Steel
Poison,2,Fairy
Ground,1,Normal
Ground,2,Fire
Ground,1,Water
Ground,2,Electric
Ground,0.5,Grass
Ground,1,Ice
Ground,1,Fighting
Ground,2,Poison
Ground,1,Ground
Ground,0,Flying
Ground,1,Psychic
Ground,0.5,Bug
Ground,2,Rock
Ground,1,Ghost
Ground,1,Dragon
Ground,1,Dark
Ground,2,Steel
Ground,1,Fairy
Flying,1,Normal
Flying,1,Fire
Flying,1,Water
Flying,0.5,Electric
Flying,2,Grass
Flying,1,Ice
Flying,2,Fighting
Flying,1,Poison
Flying,1,Ground
Flying,1,Flying
Flying,2,Psychic
Flying,0.5,Bug
Flying,1,Rock
Flying,1,Ghost
Flying,1,Dragon
Flying,1,Dark
Flying,0.5,Steel
Flying,1,Fairy
Psychic,1,Normal
Psychic,1,Fire
Psychic,1,Water
Psychic,1,Electric
Psychic,1,Grass
Psychic,1,Ice
Psychic,2,Fighting
Psychic,2,Poison
Psychic,1,Ground
Psychic,1,Flying
Psychic,0.5,Psychic
Psychic,1,Bug
Psychic,1,Rock
Psychic,1,Ghost
Psychic,1,Dragon
Psychic,0,Dark
Psychic,0.5,Steel
Psychic,1,Fairy
Bug,1,Normal
Bug,0.5,Fire
Bug,1,Water
Bug,1,Electric
Bug,2,Grass
Bug,1,Ice
Bug,0.5,Fighting
Bug,0.5,Poison
Bug,1,Ground
Bug,0.5,Flying
Bug,2,Psychic
Bug,1,Bug
Bug,1,Rock
Bug,0.5,Ghost
Bug,1,Dragon
Bug,2,Dark
Bug,0.5,Steel
Bug,0.5,Fairy
Rock,1,Normal
Rock,0.5,Fire
Rock,1,Water
Rock,1,Electric
Rock,1,Grass
Rock,2,Ice
Rock,0.5,Fighting
Rock,1,Poison
Rock,0.5,Ground
Rock,2,Flying
Rock,1,Psychic
Rock,2,Bug
Rock,1,Rock
Rock,1,Ghost
Rock,1,Dragon
Rock,1,Dark
Rock,0.5,Steel
Rock,1,Fairy
Ghost,0,Normal
Ghost,1,Fire
Ghost,1,Water
Ghost,1,Electric
Ghost,1,Grass
Ghost,1,Ice
Ghost,1,Fighting
Ghost,1,Poison
Ghost,1,Ground
Ghost,1,Flying
Ghost,2,Psychic
Ghost,1,Bug
Ghost,1,Rock
Ghost,2,Ghost
Ghost,1,Dragon
Ghost,0.5,Dark
Ghost,1,Steel
Ghost,1,Fairy
Dragon,1,Normal
Dragon,1,Fire
Dragon,1,Water
Dragon,1,Electric
Dragon,1,Grass
Dragon,1,Ice
Dragon,1,Fighting
Dragon,1,Poison
